微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IwzaadqGR,这个冬天，口罩拉远了我们的距离，却拉近了我们的心。待春来，疫情退散，摘下口罩，静待花开！来源：@平安南京 平安南京的微博视频  ,,无,无,无,2020-03-01 10:41,微博视频号,83,5,21
IwyL6dOgP,南京连续十一天无新增确诊病例 2月29日南京市无新增确诊病例  ,,无,无,无,2020-03-01 09:39,微博 weibo.com,198,226,378
Iwy0qpbWB,玄武湖的樱桃花已开，南京其他地方的樱花也快了～#三月# 已至，春意渐浓，我们相信，美好会如约而至摄影：@梅大胖子 #最南京，全民拍#  [组图共9张] 原图 ,,"http://ww2.sinaimg.cn/large/7cfe0d62ly1gce35neu3jj21jk0nt49k.jpg,http://ww2.sinaimg.cn/large/7cfe0d62ly1gce35oimd7j21jk0ntk14.jpg,http://ww1.sinaimg.cn/large/7cfe0d62ly1gce35p47gcj21jk0ntwly.jpg,http://ww1.sinaimg.cn/large/7cfe0d62ly1gce35pq6k7j21jk0nt7d2.jpg,http://ww3.sinaimg.cn/large/7cfe0d62ly1gce35qyrc3j21jk0nttir.jpg,http://ww4.sinaimg.cn/large/7cfe0d62ly1gce35yvdwej21jk0ntn4q.jpg,http://ww4.sinaimg.cn/large/7cfe0d62ly1gce35zkbhcj21jk0nt7ek.jpg,http://ww4.sinaimg.cn/large/7cfe0d62ly1gce360f25cj21jk0ntdmf.jpg,http://ww3.sinaimg.cn/large/7cfe0d62ly1gce361n2wqj21jk0ntqdu.jpg",无,无,2020-03-01 07:44,无,198,57,31
IwuH2eDDX,南京市第14号通告，进一步严格复工复业期间疫情防控要求     南京市第14号通告  ,,无,无,无,2020-02-29 23:18,微博 weibo.com,139,146,210
IwuttepXb,【关于鼓楼医院神经外科某病区有关情况的通报】2月24日，鼓楼医院神经外科某病区1名医师因低热到发热门诊就诊。根据防控工作要求，医院对该医师进行隔离留观，并连续3次对其进行新冠病毒咽拭子核酸检测，均为阴性，另外肛拭子及血标本检测各1次也均为阴性。关于鼓楼医院神经外科某病区有关情况的通报  ,,无,无,无,2020-02-29 22:44,微博 weibo.com,448,16,165
IwtR3j16c,二月红梅、三月桃花、四月玉兰……小布带你“云”游花开时节的南京，四季间风景各有别致之处。摄：@梅大胖子  [组图共9张] 原图 ,,"http://ww4.sinaimg.cn/large/7cfe0d62ly1gcdkubjljmj20u012udtx.jpg,http://ww4.sinaimg.cn/large/7cfe0d62ly1gcdkucfyy2j20u012rqbq.jpg,http://ww3.sinaimg.cn/large/7cfe0d62ly1gcdkudjsz6j20u012r4ab.jpg,http://ww3.sinaimg.cn/large/7cfe0d62ly1gcdkuen9kdj20u012ptgo.jpg,http://ww3.sinaimg.cn/large/7cfe0d62ly1gcdkufdzkuj20u012ragi.jpg,http://ww1.sinaimg.cn/large/7cfe0d62ly1gcdkugjwi6j20u012rwmc.jpg,http://ww3.sinaimg.cn/large/7cfe0d62ly1gcdkuhmoi5j20u012rdqc.jpg,http://ww3.sinaimg.cn/large/7cfe0d62ly1gcdkuhz2nlj20u012rwlf.jpg,http://ww2.sinaimg.cn/large/7cfe0d62ly1gcdkuibx4gj20u012rdr3.jpg",无,无,2020-02-29 21:10,无,157,56,31
IwtfWjraI,【#南京快递业全面复工# 】据了解，南京地区包括中国邮政速递、顺丰、中通、圆通、申通等18家快递公司，目前已全面复工，复工人数达到了1.7万人。南京市区的网点已经基本恢复正常揽件和派件服务，你的快递就要到啦！JSTV荔枝视频的秒拍视频  ,,无,无,无,2020-02-29 19:38,微博视频号,176,37,154
IwsQx06Vg,【3月3日起，游览玄武湖需实名预约】3月3日起，玄武湖景区全面实施实名制登记入园，分线上预约和现场实名登记两种方式。线上预约入口为“南京玄武湖景区”微信公众号，“旅游服务”模块中点击“玄武湖预约”，每人一次最多预约五人；现场实名登记需提供身份证等有效证件。  原图 ,,http://wx4.sinaimg.cn/large/7cfe0d62ly1gcdgcqet4ej20v91vo4qs.jpg,无,无,2020-02-29 18:36,无,151,85,68
Iwssdpedv,【#夺取双胜利 我们在行动# | 听，江苏各地奏响复工复产“协奏曲”】随着全国各地陆续进入“复工进行时”，江苏各地也在持续发力。江苏企业复工情况全国领先，政企同心、多方努力，蹄疾步稳推进经济发展，奏响了复工复产的“协奏曲”。今天，我们聚焦苏州和宿迁的复工情况，一起来看→http://t.cn/A67VvcWm 原图 ,,http://wx4.sinaimg.cn/large/7cfe0d62ly1gcdentigccj20hs0vkq6q.jpg,无,无,2020-02-29 17:36,无,65,5,46
Iws7hAaKD,【@ 南京车主，不用再粘帖纸质检验标志啦！】3月1日起，作为全国首批16个试点城市之一，南京将先行试点机动车检验标志电子化。今后，南京车主办完新车上牌、车辆检验业务后，可以直接申领检验标志电子凭证，不需要再粘贴纸质检验合格标志了。 明天起正式实施，车辆检验重大变化！  ,,无,无,无,2020-02-29 16:44,微博 weibo.com,170,389,75
