微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
ItwluCd3w,今早的朝霞，我们终将与美好的一切相遇 摄影：@绿暗红稀雨如烟 #最南京，全民拍#  原图 ,,http://wx2.sinaimg.cn/large/7cfe0d62gy1gbr2oshuvgj20sg0izn2k.jpg,无,无,2020-02-10 09:59,微博 weibo.com,619,17,103
ItvZG8raX,关于置换医用N95口罩的倡议书 关于置换医用N95口罩的倡议书  ,,无,无,无,2020-02-10 09:06,微博 weibo.com,786,149,300
ItvrYpf8P,【“感谢你们曾经对我的帮助” #为感谢民警男子送上爱心物资#】南京市民代先生从事家政行业。近日，他将公司库存的40瓶酒精，和另外购买的10箱方便面还有5箱矿泉水送往朝天宫派出所。他说自己刚到南京时，一次意外丢失了电脑，里面有很多重要资料，是民警帮他找回，他一直心存感激。这次想要尽自己的一点微薄之力。#恩正南京人#http://t.cn/A6PFOIyR ,,无,无,无,2020-02-10 07:43,微博视频号,302,11,89
Itv3ylysF,【早！要去上班了？】这份复工防疫守则送给你，做个健康的小胖子↓↓↓  原图 ,,http://wx2.sinaimg.cn/large/7cfe0d62gy1gbqx012klpj20u01hcamp.jpg,无,无,2020-02-10 06:42,无,132,62,84
ItrNwFRcG,大家来聊聊#疫情结束后你的新目标#是什么吧！ 新目标：  ,,无,无,无,2020-02-09 22:25,无,4673,28,109
ItrjA8XwZ,【又多2人！南京连续6天有人出院，累计22人！】2月9日下午，2名患者经过精心诊治和护理，病情好转，符合出院标准；其中，1例治愈出院，另1例转出隔离病房进行康复治疗。截至目前南京共有22名确诊患者出院，这也是南京连续6天有患者出院！  原图 ,,http://wx1.sinaimg.cn/large/7cfe0d62ly1gbqghaado9j20u00j7q8l.jpg,无,无,2020-02-09 21:11,无,660,46,98
ItqXn9Edk,【无需安装、 直接查询，新冠肺炎#密切接触者测量仪#公众版上线！】为适应疫情防控新阶段的工作特点，国务院办公厅电子政务办公室牵头组成的疫情防控大数据攻关团开发出“密切接触者测量仪”（公众版），2月 8 日晚间起，公众可以通过“密切接触者测量仪”（公众版），自主查询自己是否属于“密切接触者”。 原图 ,,http://wx4.sinaimg.cn/large/7cfe0d62ly1gbqewhzz0fj20mz41otnr.jpg,无,无,2020-02-09 20:16,无,210,284,90
ItqAa7u33,【南京开出首张居家隔离人员违规处罚单】今天，江北新区阳沟街派出所开出南京市首张居家隔离人员违规处罚单。被处罚人有过湖北逗留史，被列为居家观察对象，然而执意外出。民警当场开具“处罚决定书”，进行严厉警告处分。罚单是为了保障被处罚人的安全，也是保障更多居民的安全。这样的“罚单”，我们不想看到第二张！ [组图共2张] 原图 ,,"http://ww2.sinaimg.cn/large/7cfe0d62ly1gbqd8c6iv2j20ks0sn786.jpg,http://ww4.sinaimg.cn/large/7cfe0d62ly1gbqd8rbb8dj20nz0hzdr4.jpg",无,无,2020-02-09 19:19,无,507,38,117
ItqbmB49k,【#男子给派出所送来16箱物资#：几年前，民警曾帮助过我】近日，朝天宫派出所收到40瓶酒精、10箱方便面、5箱矿泉水。送物资的市民在几年前曾遗失了一台笔记本电脑，民警帮忙找回，为此他一直感激在心，想为抗击疫情的民警尽一份力。民警也很感动，“这是我们的职责，心中无比温暖。”http://t.cn/A6PFMdiK ,,无,无,无,2020-02-09 18:18,微博视频号,148,10,32
ItpDHgViz,【南京出发，目标武汉！】今天，由南京鼓楼医院、南京市第一医院、江宁医院、浦口区中心医院、六合区人民医院、溧水区人民医院、高淳人民医院264名医护人员组成的南京市援助湖北医疗队奔赴武汉。所有医疗队员，等你们平安回来，一个都不能少！（摄影：林琨、褚旭峰）  [组图共9张] 原图 ,,"http://ww4.sinaimg.cn/large/7cfe0d62ly1gbq9347h5zj20zk0o6n4l.jpg,http://ww1.sinaimg.cn/large/7cfe0d62ly1gbq934m03tj20zk0npwni.jpg,http://ww1.sinaimg.cn/large/7cfe0d62ly1gbq935tatxj20zk0p4dnk.jpg,http://ww4.sinaimg.cn/large/7cfe0d62ly1gbq935iz0qj20zk0od46i.jpg,http://ww3.sinaimg.cn/large/7cfe0d62ly1gbq9365eavj20zk0np43f.jpg,http://ww4.sinaimg.cn/large/7cfe0d62ly1gbq9375sjcj21900u0gq0.jpg,http://ww4.sinaimg.cn/large/7cfe0d62ly1gbq937til8j21900u0b29.jpg,http://ww2.sinaimg.cn/large/7cfe0d62ly1gbq933urygj21900u0wjw.jpg,http://ww3.sinaimg.cn/large/7cfe0d62ly1gbq938g4wsj21hc0zkkjl.jpg",无,无,2020-02-09 16:55,无,5359,1153,919
Itp4ohXiX,【#返程高峰如何做好自我防护# 视频教程，转给更多人！】 央视新闻的微博视频  ,,无,无,无,2020-02-09 15:28,微博视频号,120,38,51
ItoDStlBd,"【为防疫装上“双保险” 南京""火神山""正在扩建】最近，南京市公共卫生医疗中心应急工程开建。1天完成设计，4天完成9万立方米的土方开挖与调配平衡。预计2月13日，南京第一批应急隔离病房即可完成！“基建狂魔”的中国速度就是这么快！紫金山视频的秒拍视频  ",,无,无,无,2020-02-09 14:23,微博视频号,3193,232,485
ItodUjwre,剪发出征！江苏省人民医院(浦口分院)34名队员剪短了自己的头发，即将踏上赴武汉征途……摄：林琨  [组图共5张] 原图 ,,"http://ww4.sinaimg.cn/large/7cfe0d62ly1gbq2src80zj21900u0whb.jpg,http://ww4.sinaimg.cn/large/7cfe0d62ly1gbq2sqeb1kj21a60u0tce.jpg,http://ww4.sinaimg.cn/large/7cfe0d62ly1gbq2sqmrd9j21900u0n19.jpg,http://ww1.sinaimg.cn/large/7cfe0d62ly1gbq2sr0lhuj217s0u041v.jpg,http://ww2.sinaimg.cn/large/7cfe0d62ly1gbq2srl1hmj21900u00wu.jpg",无,无,2020-02-09 13:19,无,1030,63,171
ItnLHz1yi,市第一医院，出征！摄：薛晓红 南京发布的微博视频  ,,无,无,无,2020-02-09 12:09,微博视频号,942,120,202
ItnmCoOtQ,南京市新增6例新型冠状病毒肺炎确诊病例的通报 南京市新增6例新型冠状病毒肺炎确诊病例的通报  ,,无,无,无,2020-02-09 11:07,微博 weibo.com,2424,622,489
Itnit4ZQ8,“妈妈，请听我说，我不难过与你分离，因为还有很多的人更需要你。” 面对自己的父母在抗疫一线，家中的萌娃却懂事得让人“心碎”。没有人天生是英雄，只是因为有人需要他们选择披上“战甲”，把困难与险阻挡在自己的身前。@上海铁路局 上海铁路局的微博视频  ,,无,无,无,2020-02-09 10:57,微博视频号,84,22,11
ItmV9wzs1,【今天，鼓楼医院56名医护也将前往武汉！】昨晚，@南京鼓楼医院 也接到了紧急通知，组建医疗队支援武汉。各科主任随即在微信群发布通知，短短几分钟数百名医护人员报名。一个小时后，56人的最终名单敲定，从报名到组队一小时完成平安归来！#医疗队1小时自愿报名完成#  原图 ,,http://wx4.sinaimg.cn/large/7cfe0d62ly1gbpx2ohjcij20u0177diq.jpg,无,无,2020-02-09 10:00,无,1600,669,286
ItmvCzL6k,关于调整疫情防控期间住房公积金有关事项的通知 关于调整疫情防控期间住房公积金有关事项的通知  ,,无,无,无,2020-02-09 08:57,无,94,61,36
ItmektLeu,【江苏省人大常委会作出决定：隐瞒病情等将列为“失信”并追责】2月8日， 江苏省十三届人大常委会第十四次会议召开。会议表决通过《江苏省人民代表大会常务委员会关于依法防控新型冠状病毒感染肺炎疫情切实保障人民群众生命健康安全的决定》，其中特别规定，个人有隐瞒病情、在疫情严重地区旅居，或者逃避医学观察、隔离治疗等行为的，除依法追究相应法律责任外，还应当将其认定为失信行为，依法予以惩戒。 原图 ,,http://wx1.sinaimg.cn/large/7cfe0d62ly1gbpu1ec0jdj20j60br0tr.jpg,无,无,2020-02-09 08:14,无,298,100,89
Itm37eBzB,【#每天起床第一句先给武汉打个气#！】将手机右转再看下图，武汉必胜！转发，为武汉加油！（作者：@王左中右 ）  原图 ,,http://wx1.sinaimg.cn/large/7cfe0d62ly1gbpt8n1kyaj20ku1573zz.jpg,无,无,2020-02-09 07:47,无,154,34,37
Itj56zCgM,南京市第一医院微信群，医师纷纷自愿报名赴武汉抗疫一线……请一定要平安归来！  [组图共5张] 原图 ,,"http://ww1.sinaimg.cn/large/7cfe0d62ly1gbpg4xe4dlj20rs1bpdmo.jpg,http://ww3.sinaimg.cn/large/7cfe0d62ly1gbpg4xp63uj20u01p8n6h.jpg,http://ww2.sinaimg.cn/large/7cfe0d62ly1gbpg4y19kkj20u01p8tk8.jpg,http://ww4.sinaimg.cn/large/7cfe0d62ly1gbpg4yarsbj20u01p8wom.jpg,http://ww1.sinaimg.cn/large/7cfe0d62ly1gbpg4yl8y6j20u01sxk3b.jpg",无,无,2020-02-09 00:13,无,1854,167,296
ItiOWyDKv,2月8日南京市新型冠状病毒感染肺炎确诊病例有关分布情况通报。 2月8日南京市新冠肺炎确诊病例有关分布情况通报  ,,无,无,无,2020-02-08 23:33,微博 weibo.com,574,105,202
Ithy9uX6J,元宵节，这样的南京城亮灯，你见过吗？制作：金锋团队  南京发布的微博视频  ,,无,无,无,2020-02-08 20:19,微博视频号,928,397,113
Ith8YniQX,中国加油，武汉加油！ 摄：@小飞718 、林琨、毛劲松  [组图共9张] 原图 ,,"http://ww2.sinaimg.cn/large/7cfe0d62ly1gbp7k1pq40j20u01hcb29.jpg,http://ww1.sinaimg.cn/large/7cfe0d62ly1gbp7k552u4j21hc0u0dla.jpg,http://ww1.sinaimg.cn/large/7cfe0d62ly1gbp7k60na5j21hc0zje82.jpg,http://ww1.sinaimg.cn/large/7cfe0d62ly1gbp7k15y9cj20xc0m8goi.jpg,http://ww2.sinaimg.cn/large/7cfe0d62ly1gbp7k2w3grj21hc0zj4qq.jpg,http://ww2.sinaimg.cn/large/7cfe0d62ly1gbp7k248dsj20xc0m8q55.jpg,http://ww1.sinaimg.cn/large/7cfe0d62ly1gbp7k3i4i8j21hc0zju0x.jpg,http://ww1.sinaimg.cn/large/7cfe0d62ly1gbp7k4o3omj21hc0zjhdu.jpg,http://ww1.sinaimg.cn/large/7cfe0d62ly1gbp7l0hdygj24802tckjq.jpg",无,无,2020-02-08 19:17,无,486,126,68
ItgKXmVU5,今天下午，南京又有5位新冠肺炎患者出院！截至目前，南京共有20位确诊患者出院！  原图 ,,http://wx2.sinaimg.cn/large/7cfe0d62gy1gbp5vb2o45j20u00k0teb.jpg,无,无,2020-02-08 18:18,无,1473,159,290
ItgG6ilGM,【今天#元宵节# ，心在一起，便是团圆】今年这个元宵节不闹，却注定不凡。我们相信，万众一心战“疫”必胜，我们期待，春暖花开亲人平安归来。 元宵节你怎么度过？    ,,无,无,无,2020-02-08 18:06,无,1753,7,16
ItgbW7cYv,5个元宵的新吃法，元宵不用一直煮着吃了～今晚试试 当时我就震惊了的微博视频  ,,无,无,无,2020-02-08 16:52,微博视频号,188,58,48
ItfO6DZyP,【#雷神山医院今日交付使用# 将收治首批患者】武汉雷神山医院各项准备工作正有序进行中，首批医疗队员已进驻，今天将收治首批患者。该院共设床位1500张，除重症病区外，病房均为2人间。医院还设置有心电诊断科、超声影像科、放射影像科及医学检验科等医技科室，配备CT、床边超声、全自动生化分析仪、有创无创呼吸机等必需的设施设备，并实现CT和心电的远程诊断传输。 [组图共3张] 原图 ,,"http://ww1.sinaimg.cn/large/7cfe0d62gy1gbp1oi9rw1j20j60ar3zp.jpg,http://ww2.sinaimg.cn/large/7cfe0d62gy1gbp1oicmmcj20fj0rnta8.jpg,http://ww2.sinaimg.cn/large/7cfe0d62gy1gbp1oibvsaj20fh0rlq48.jpg",无,无,2020-02-08 15:53,专业版微博,214,12,28
ItfpJgzhC,【这个元宵节，心在一起就能团圆】谨以此片向所有面对疫情，依然选择坚守的人们致敬！请你们一定保护好自己，平安凯旋！等你归来时，我们再团圆！  南京发布的微博视频  ,,无,无,无,2020-02-08 14:53,微博视频号,155,170,50
IteItnc2P,南京市新增8例新型冠状病毒感染肺炎确诊病例的通报 南京市新增8例新型冠状病毒感染肺炎确诊病例的通报  ,,无,无,无,2020-02-08 13:07,微博 weibo.com,1931,247,643
Itdy56GUP,【宅在家里也能“云赏灯”！】过年不看灯，等于没过年？当前，疫情防控正处于关键时期，依法科学有序防控至关重要！系列纪录片《传世名著·我们的节日》，为大家送上一份传统文化“大餐”——《元宵节》，让您防疫不出门，宅家也能看花灯。新华红的微博视频  ,,无,无,无,2020-02-08 10:08,微博视频号,189,82,60
ItcTuq9VT,"【#市民送300杯奶茶到医院# 杯身写满寄语：“您们辛苦了""】2月4日，南京市浦口医院来了几位“不速之客”，先后送来300杯热奶茶。杯子上还写着“抗击疫情，我们在一起，您们辛苦了”、“感谢有你”、“武汉加油、中国加油”等暖心寄语。医护人员十分感动，想与他们合影，他们却不肯留下姓名匆匆离开。http://t.cn/A6PgZC8G ",,无,无,无,2020-02-08 08:28,微博视频号,211,14,44
ItcJTzi9V,【30多亿！南京全力支持中小微企业共渡疫情难关】今天，南京推出10条措施，促进中小微企业稳定发展。既有对上级政策的深化、细化，又有南京新招；预计中小微企业将获益30多亿元；支持对象范围覆盖25万家中小微企业；明确责任部门，明确办理时限……全是干货！ 30多亿！南京全力支持中小微企业共渡疫情难关  ,,无,无,无,2020-02-08 08:05,微博 weibo.com,237,170,67
ItcHSA1Fr,南京推出10条促进中小微企业稳定发展措施！  原图 ,,http://wx4.sinaimg.cn/large/7cfe0d62gy1gbonesexzsj20ku5tr7wj.jpg,无,无,2020-02-08 08:00,微博 weibo.com,118,71,64
ItcB41evm,#微博辟谣# 据@江宁发布 ，2月7日下午微信圈群传的“来自江宁的大量疑似病人4位数以上空降省人民医院，要求在8日上午全部检查出来”等信息，经调查核实是谣言。希望公众不信谣不传谣。  原图 ,,http://wx2.sinaimg.cn/large/7cfe0d62ly1gbonid2t4kj20yi0u2492.jpg,无,无,2020-02-08 07:43,无,1823,96,532
ItcrXBiRW,【今天#元宵节#，为爱的人祈福平安】今天，正月十五，元宵节。我们相信，万众一心战“疫”必胜我们期待，春暖花开亲人平安归来带#点亮心愿 岁岁平安#话题转发微博，你的微博昵称后也会点亮平安灯icon。一起为爱转发！  [组图共3张] 原图 ,,"http://ww1.sinaimg.cn/large/7cfe0d62gy1gbomsh9k71j20u01hcqg6.jpg,http://ww2.sinaimg.cn/large/7cfe0d62gy1gbomsnz7t8j20u01hc7l4.jpg,http://ww2.sinaimg.cn/large/7cfe0d62gy1gbomsu0i7qj20u01hck1v.jpg",无,无,2020-02-08 07:20,无,117,125,41
It8RcF270,【人社部：#春节延长假期间上班先安排补休#】人社部等今天印发《关于做好新型冠状病毒感染肺炎疫情防控期间稳定劳动关系支持企业复工复产的意见》，对在春节假期延长假期间因疫情防控不能休假的职工，指导企业应先安排补休，对不能安排补休的，依法支付加班工资。  原图 ,,http://wx4.sinaimg.cn/large/7cfe0d62ly1gbo7bofcvbj20yi0u0ak8.jpg,无,无,2020-02-07 22:12,无,719,21,335
It8uEnLGI,【2位确诊患者出院，含一名95岁老人！】据市卫健委，今天下午，南京2位患者经过精心诊治和护理，病情好转，无发烧，无身体不适，经反复核酸检测均为阴性，经专家组评估，符合国家卫生健康委新型冠状病毒感染的肺炎确诊病例解除隔离和出院标准；其中，1例治愈出院，另95岁患者因家人感染隔离治疗，无人照顾，目前转出隔离病房进行康复治疗。截至目前南京共有15位确诊患者出院。 ,,无,无,无,2020-02-07 21:16,无,2018,116,400
It8b9dymE,【#居家消毒示意图#来了】疫情之下，家中哪些地方需要定时消毒？怎么消毒？看看这张“户型图”！  原图 ,,http://wx3.sinaimg.cn/large/7cfe0d62ly1gbo4079sezj20u01hcdt6.jpg,无,无,2020-02-07 20:28,无,144,37,60
It7ynq2nN,【暖！#小学生捐赠2000只口罩#给慈善总会】近日，南京琅琊路小学威尼斯水城分校的小学生祁妙和爸爸把2000只口罩捐赠给了南京市慈善总会。此外，她和爸爸还给物业和警察蜀黍也捐赠了物资。她说：叔叔阿姨们辛苦了，疫情的冬天一定会过去，春天一定会来！紫金山视频的秒拍视频  ,,无,无,无,2020-02-07 18:52,微博视频号,613,46,176
It71MdYE6,【注意！坐出租车拒绝登记身份信息，司机可拒载】昨天起，在南京乘坐出租车，不仅要戴好口罩，还要配合驾驶员登记身份证和电话号码信息，如果乘客拒绝登记，驾驶员可以拒载。建议大家打车最好在车辆后排落座，行车途中尽量减少与驾驶员的对话。 早安江苏JSBC的微博视频  ,,无,无,无,2020-02-07 17:32,微博视频号,192,28,89
It6tzaqmv,【#南京抗疫医生徐辉去世#】今天中午， 网友@杀破狼ajptm 发布了一条消息：“南京市中医院副院长徐辉奋战于抗疫一线，操劳过度突然离世。”@JSTV荔枝视频 立刻联系南京市中医院，确认了这一令人悲痛的消息。徐辉医生奋战在阻击疫情第一线，于今天凌晨突发疾病不幸离世。JSTV荔枝视频的秒拍视频  ,,无,无,无,2020-02-07 16:08,微博视频号,1204,1251,560
It6jkuPKD,【南京大医院推网上“在线复诊”“在线开药”服务  部分药品还能快递到家】为了降低患者在医院就诊中交叉感染的风险，南京大医院将陆续推出网上医学咨询服务，患者可“在线复诊”、“在线开药”，部分科室实现了药物快递到家。南京大医院推网上“在线复诊”“在线开药”服务，部分药品还能快递到家  [组图共2张] 原图 ,,"http://ww3.sinaimg.cn/large/7cfe0d62gy1gbnw1ywesuj20hs0dcwfg.jpg,http://ww1.sinaimg.cn/large/7cfe0d62gy1gbnw1yvcgnj20hs0c874y.jpg",无,无,2020-02-07 15:43,无,117,90,70
It5TKAlgz,"【今起，乘火车进入江苏人员要主动申报健康状况】据铁路南京站，乘火车到达铁路南京站、南京南站、江宁站、江宁西站、句容西站、溧水站、瓦屋山站、溧阳站、宜兴站、仙林站等旅客，要在""江苏疾控""或""铁路南京站""微信公众号，每日早晚两次填写当前健康状况。  原图 ",,http://wx4.sinaimg.cn/large/7cfe0d62ly1gbntxq0vnsj20u01cyn2w.jpg,无,无,2020-02-07 14:40,无,608,610,305
It5qHdapl,【财政部：#新冠肺炎患者中央财政补助60％#】财政部副部长余蔚平在新闻发布会上说，截至2月6日，对确诊患者个人负担费用实行财政兜底，中央财政补助60％；对疑似患者，由就医地制定财政补助政策，中央财政视情给予适当补助。央视新闻的微博视频  ,,无,无,无,2020-02-07 13:28,微博视频号,142,13,50
It56jqfsG,【#钱七虎院士向武汉捐款650万#】武汉市慈善总会发布的《关于新冠肺炎防控捐赠款物公告第12期》显示，陆军工程大学钱七虎院士分两次共向武汉捐款650万元。钱院士是“南京长江隧道工程建设一等功臣”，更是2018年度国家最高科学技术奖获得者  [组图共2张] 原图 ,,"http://ww1.sinaimg.cn/large/7cfe0d62ly1gbnqezstd1j20go0pl40n.jpg,http://ww4.sinaimg.cn/large/7cfe0d62ly1gbnqf0gdykj20dw0g30tx.jpg",无,无,2020-02-07 12:38,无,481,61,57
It4UbExN3,#微博辟谣#近日，网传“六合区每户家庭每2天只可安排1名家庭成员外出购买生活用品”。经向六合区新型冠状病毒感染的肺炎防控工作指挥部了解，此消息不实，希望广大网友不信谣！不传谣！  原图 ,,http://wx2.sinaimg.cn/large/7cfe0d62ly1gbnpjveeclj20if0t7adc.jpg,无,无,2020-02-07 12:08,无,588,52,280
It4MZb8PV,南京市新增5例新型冠状病毒感染的肺炎确诊病例的通报 南京市新增5例新型冠状病毒感染的肺炎确诊病例的通报  ,,无,无,无,2020-02-07 11:50,微博 weibo.com,928,562,290
It4Cfrp6X,关于逐步启动全市企业复工复业的通告（第10号）  关于逐步启动全市企业复工复业的通告（第10号）  ,,无,无,无,2020-02-07 11:24,微博 weibo.com,3357,168,535
It4n1CS7K,【财政部：对防疫人员工作补助和奖金免征个人所得税】财政部发布关于支持新型冠状病毒感染的肺炎疫情防控有关个人所得税政策的公告↓↓↓  原图 ,,http://wx3.sinaimg.cn/large/7cfe0d62gy1gbnn6ulwhaj20rs0hjq58.jpg,无,无,2020-02-07 10:46,无,78,20,27
It44frq8l,@南京航空航天大学 校友田博@小田叔 原创歌曲《只争朝夕》，将热忱与真心揉进每一个音符，向奋战在一线的医护人员致敬！你们是这场战“疫”中最美的天使南京航空航天大学的微博视频  ,,无,无,无,2020-02-07 10:00,微博视频号,82,19,28
It3LPmU7N,【收！口罩使用指引】口罩既可防止佩戴者吸入飞沫核，还可防止病人喷射飞沫，降低飞沫扩散范围。哪些情形要戴？怎么佩戴？……戳↓↓  原图 ,,http://wx1.sinaimg.cn/large/7cfe0d62gy1gbnkjkz6jyj20ku3a1hdt.jpg,无,无,2020-02-07 09:15,无,240,96,98
It3iicYAb,【南京姑娘创作疫情沙画：#一起等武汉樱花开#】早～面对疫情，南京姑娘高洁创作出许多沙画作品。她说：希望四月，武汉樱花浪漫时，我们依旧和往常一样赏遍樱花。紫金山视频的秒拍视频  ,,无,无,无,2020-02-07 08:02,微博视频号,134,29,23
It306yjId,湖北某医院，当她脱下穿了12小时的防护服，满脸都是压痕与汗水，却依然露出微笑……愿“逆行者们”平安归来！#医护人员脸上让人心疼的压痕# 图自@媒体人张晓磊  原图 ,,http://wx3.sinaimg.cn/large/7cfe0d62ly1gbnh589qf2j20r10zaae1.jpg,无,无,2020-02-07 07:17,无,520,31,42
It0FGhv5Z,【“南京市第6号通告”解读】2月4日，南京发布了《关于进一步加强疫情防控期间小区管理的通告》。小区实行封闭管理，重点地区返城人员还进得去吗？现就有关问题解读如下。 “南京市第6号通告”解读  ,,无,无,无,2020-02-07 01:21,无,1571,210,576
IsZjTvp11,【第四批！出院！】今天下午，又有2位新型冠状病毒感染的肺炎患者出院截至目前，南京共有13位确诊患者出院。  [组图共2张] 原图 ,,"http://ww1.sinaimg.cn/large/7cfe0d62gy1gbn15ou6kcj20u00jz76n.jpg,http://ww1.sinaimg.cn/large/7cfe0d62gy1gbn15o3q85j20u00mi41f.jpg",无,无,2020-02-06 21:55,微博 weibo.com,1044,65,168
IsZdIx6tC,为有序开展我市建设工程节后复工工作，有效防控新型冠状病毒感染的肺炎疫情，落实各项建筑施工安全生产条件，确保安全稳定，特制定《南京市疫情期间建设工程复工指南》。  原图 ,,http://wx2.sinaimg.cn/large/7cfe0d62gy1gbn03o65mwj20ku7lvnpf.jpg,无,无,2020-02-06 21:40,微博 weibo.com,643,77,150
IsZ3htHzq,【#南京对公共自行车共享单车批量消毒# 提醒：骑车记得备手套！】目前，南京部分公交线路停运，很多市民出行选择骑单车。目前，南京对重点区域150个站点的公共自行车每天进行消毒。共享单车平台也在安排人员，做车辆定时消毒，但其投放分散，难度较大。提醒大家备一次性手套骑行，回到家记得洗手。http://t.cn/A6PuymOo ,,无,无,无,2020-02-06 21:14,微博视频号,115,23,29
IsYEMioiB,"【#火神山雷神山背后的苏大强# 硬核！】""基建狂魔""用中国速度与疫情赛跑，10天造出火神山、雷神山医院奇迹背后，40多家江苏企业强势助力，建筑材料、环境设备、医疗器械等都有南京身影↓↓  [组图共5张] 原图 ",,"http://ww4.sinaimg.cn/large/7cfe0d62gy1gbmxw5i2gfj20iw2yj18t.jpg,http://ww4.sinaimg.cn/large/7cfe0d62gy1gbmxwh7h3zj20iw3csasa.jpg,http://ww4.sinaimg.cn/large/7cfe0d62gy1gbmxvt67dpj20iw2mpncx.jpg,http://ww3.sinaimg.cn/large/7cfe0d62gy1gbmxx5k253j20iw2rcnbj.jpg,http://ww4.sinaimg.cn/large/7cfe0d62gy1gbmxxixo7pj20iw2fek85.jpg",无,无,2020-02-06 20:13,无,423,134,57
IsYpQhgLa,都是假的！不信谣！不传谣！@新浪江苏  [组图共9张] 原图 ,,"http://ww2.sinaimg.cn/large/7cfe0d62ly1gbmwwf370oj20yi13c7wh.jpg,http://ww3.sinaimg.cn/large/7cfe0d62ly1gbmwwfr5woj20yi13c7wh.jpg,http://ww2.sinaimg.cn/large/7cfe0d62ly1gbmwwgb24jj20yi13c7wh.jpg,http://ww4.sinaimg.cn/large/7cfe0d62ly1gbmwwgwwkwj20yi13c7wh.jpg,http://ww2.sinaimg.cn/large/7cfe0d62ly1gbmwwhgc1vj20yi13c7wh.jpg,http://ww1.sinaimg.cn/large/7cfe0d62ly1gbmwwhx7uej20yi13c7wh.jpg,http://ww1.sinaimg.cn/large/7cfe0d62ly1gbmwwigiitj20yi13c7wh.jpg,http://ww4.sinaimg.cn/large/7cfe0d62ly1gbmwwj7of4j20yi13c7wh.jpg,http://ww1.sinaimg.cn/large/7cfe0d62ly1gbmwwjtaxmj20yi13c7wh.jpg",无,无,2020-02-06 19:37,无,254,65,88
IsY7ne558,关于加强建筑工地疫情防控工作的通告（第9号） 关于加强建筑工地疫情防控工作的通告（第9号）  ,,无,无,无,2020-02-06 18:51,微博 weibo.com,159,66,66
IsY59v1vw,关于发布接收社会捐赠物资情况的公告（第1期） 关于发布接收社会捐赠物资情况的公告（第1期）  ,,无,无,无,2020-02-06 18:46,微博 weibo.com,338,92,104
IsXG4DnXe,【能测温 能杀毒 硬核“黑科技”机器人上岗！】疫情期间，为了提升工作效率，减少交叉感染。今天，一批新型硬核“黑科技”机器人在南京市第一医院上岗直播南京官方版的微博视频  ,,无,无,无,2020-02-06 17:44,微博视频号,152,27,30
IsXsD6oed,#共同战疫#地铁天保站派出所有个小菜园，平时所里的素菜很多都“自产自销”。在这特殊时期，小菜园派上了新用场: 民警们将新鲜收割的蔬菜送到家庭困难、生活不便的老人家中。 @南京市公安局地铁分局  [组图共2张] 原图 ,,"http://ww2.sinaimg.cn/large/7cfe0d62gy1gbmsor7ebrj20j60eejx5.jpg,http://ww2.sinaimg.cn/large/7cfe0d62gy1gbmsos2jj6j20j60eediu.jpg",无,无,2020-02-06 17:11,无,212,10,46
IsXfvfboI,#微博辟谣#网传南京百家湖花园使用75℃酒精消毒遇火爆炸，实为句容市一处门面房发生火灾，火已扑灭，现场无人员伤亡。请大家不听谣，不信谣，不传谣！  [组图共2张] 原图 ,,"http://ww1.sinaimg.cn/large/7cfe0d62gy1gbmrr3uo4nj206m0au0xy.jpg,http://ww2.sinaimg.cn/large/7cfe0d62gy1gbmrqzk2n6j20u01fc1kx.jpg",无,无,2020-02-06 16:38,无,235,174,98
IsX6zeMiN,【转发提醒！专家：#口罩喷酒精可能将病毒留在口罩上#】北京急救中心培训中心主任陈志：口罩能防护病毒，是因病毒会伴随液体飞沫形成小颗粒，附在口罩上。用酒精喷洒口罩表面，酒精挥发时会将里面的水分一起带走后，再使用时，被分离出来的病毒有可能被吸入！重复用口罩，可以用蒸煮5-10分钟的方法。 http://t.cn/A6PuEVne ,,无,无,无,2020-02-06 16:16,微博视频号,210,35,66
IsWTGudJK,"【#南理工紧急研发体温异常检测仪#：测温""黑科技"" 精度达0.1℃】经过数天奋战，@南京理工大学 红外成像技术团队带头人陈钱教授与团队隋修宝教授研制出新型""人体体温异常检测热像仪""，检测迅速，精度达0.1℃。无论多少人快速通过检测区域，都能精准分辨出异常体温，可应对大量人员流动带来的测温难题。http://t.cn/A6Pu7N1T ",,无,无,无,2020-02-06 15:45,微博视频号,397,79,98
IsWzjzSFF,【重要通知：全省学校2月底前不开学】根据疫情发展情况，省政府决定，全省各级各类学校（高校、中小学、中职学校、幼儿园、托育机构）2月底前不开学。具体开学时间，将视疫情防控情况，经科学评估后确定，届时提前向社会公布。  ,,无,无,无,2020-02-06 14:55,无,1841,906,501
IsWtjfLKm,#微博辟谣#据众彩市场管理方，没有关闭果品市场一说，各类市场的经营时间⬇️  原图 ,,http://wx3.sinaimg.cn/large/7cfe0d62gy1gbmobggpobj20dw0obgo5.jpg,无,无,2020-02-06 14:40,无,130,47,49
IsW7Mge5J,教训！一次家庭聚餐，7人相继发病，防疫期间不要再聚了！ 南京发布的微博视频  ,,无,无,无,2020-02-06 13:47,微博视频号,198,31,61
